f;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30
4-10;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651;37.0651
5-10;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396;20.0396
6-10;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531;1.32531
7-10;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636;1.7636
8-10;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587;8.53587
9-10;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194;4.3194
10-10;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491;120.491
11-10;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935;97.8935
12-10;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967;0.149967
13-10;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475;0.0797475
14-10;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837;0.132837
15-10;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975;16.2975
16-10;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497;1.63497
17-10;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8;4539.8
18-10;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15;3231.15
19-10;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713;0.319713
20-10;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872;217.872
1-10;1.8046e+06;2.35688e+06;2.66605e+06;2.92823e+06;1.98982e+06;2.90424e+06;2.20984e+06;2.75851e+06;2.10532e+06;3.0779e+06;1.94452e+06;2.81369e+06;2.5377e+06;2.22275e+06;1.72742e+06;1.71665e+06;1.90469e+06;1.97973e+06;2.70695e+06;2.74325e+06;1.93286e+06;1.98973e+06;1.4606e+06;2.501e+06;2.2036e+06;3.12407e+06;2.06521e+06;2.66986e+06;3.06811e+06;2.85125e+06
2-10;1.51518e+08;1.09874e+08;1.19417e+08;1.24763e+08;1.81107e+08;1.1845e+08;1.27082e+08;1.57871e+08;1.36359e+08;1.2677e+08;1.4916e+08;1.23803e+08;1.42575e+08;1.47188e+08;1.12851e+08;1.28429e+08;1.14795e+08;1.35512e+08;1.38153e+08;1.35951e+08;1.28049e+08;1.35785e+08;1.26892e+08;1.30772e+08;1.21387e+08;1.42395e+08;1.36169e+08;1.24374e+08;1.37868e+08;1.30814e+08
3-10;3185.18;3905.82;2751.21;3113.38;3504.49;4171.42;3426.73;3888.85;6707.1;3179.43;3603.44;3435.16;4339.18;3056.33;6963.04;3835.79;4385.31;5165.82;4240.71;3281.47;2857.08;2911.58;3167.47;4026.87;3671.9;4532.11;2939.26;3096.16;3606.59;4503.38
4-10;38.308;36.2564;37.3355;37.5187;37.7601;37.2699;37.773;37.3697;36.5248;37.8359;37.1641;36.6037;37.344;36.8259;36.9306;36.6586;37.398;37.1051;37.2813;36.604;36.7385;38.1787;37.3276;26.5521;36.0233;38.5032;36.4905;37.0647;37.5109;37.191
5-10;20.004;5.89834;20.0597;20.0611;10.4569;20.0777;20.057;20.0542;20.0707;20.0758;20.0572;20.0685;20.0514;20.0605;6.36632;8.60015;20.0803;19.9114;20.0528;20.059;20.0752;20.0647;6.76314;20.0572;20.0551;20.0542;4.36142;20.0626;19.9024;20.0593
6-10;1.58089;1.39034;1.46788;1.49173;1.437;1.38155;1.64129;1.54352;1.46977;1.68209;1.51976;1.59687;1.47578;1.4671;1.74892;1.34524;1.51634;1.43759;1.48854;1.98319;1.72556;0.843685;1.36193;1.85573;1.36804;1.40204;1.39468;1.32772;1.58679;1.47017
7-10;0.369186;0.433891;0.489716;1.42049;0.471821;1.7047;0.996447;1.61275;0.447479;0.41006;1.72036;0.73633;1.47248;0.552087;1.05892;0.444195;1.56607;0.8332;0.397057;0.386716;0.400708;0.888346;1.51714;1.58617;0.380413;1.65576;1.18956;0.707993;1.49628;1.32177
8-10;8.52322;9.8333;9.58771;9.10736;9.37961;8.04255;9.07294;9.63198;9.72242;9.80398;8.85067;9.76997;9.61928;8.6818;8.8716;8.05607;8.80935;9.3613;9.74667;8.95891;9.67178;9.68381;8.37119;9.95549;9.07676;9.04711;9.02129;9.56136;7.41496;9.33892
9-10;7.66385;5.26693;8.40097;7.60048;8.40411;6.19083;7.14608;7.6378;7.22258;7.2759;6.28573;8.1332;5.82726;7.3718;7.04955;6.65323;5.07969;8.03672;7.46017;7.04667;6.4554;6.06729;7.83888;5.86544;8.40949;5.03931;7.91754;6.94226;7.62533;6.6826
10-10;125.537;137.545;151.089;128;127.859;140.33;54.498;154.827;62.4727;142.879;126.299;133.498;144.464;148.236;134.925;157.051;126.299;130.341;153.306;58.5092;141.908;121.686;126.569;160.578;139.865;132.867;153.597;152.777;140.864;137.007
11-10;189.747;235.61;296.297;192.772;313.214;229.853;264.062;221.714;229.996;235.606;166.815;216.739;204.161;160.234;209.063;227.503;311.543;197.007;242.223;179.905;186.815;171.401;171.224;208.902;221.479;197.585;217.819;261.761;169.672;250.275
12-10;0.273706;0.2418;0.260034;0.233447;0.286372;0.241878;0.329333;0.210833;0.243206;0.28953;0.232957;0.248738;0.24759;0.232514;0.266286;0.220646;0.276562;0.218639;0.24903;0.246289;0.222908;0.241435;0.231085;0.273612;0.237991;0.230883;0.191496;0.256952;0.280768;0.238412
13-10;0.108824;0.110323;0.0862434;0.106625;0.100577;0.115619;0.104025;0.100614;0.0968525;0.0813491;0.100922;0.11545;0.100177;0.0949664;0.09612;0.10028;0.111894;0.104938;0.102379;0.0874605;0.104734;0.113013;0.0910934;0.105062;0.107538;0.0990049;0.125856;0.0969532;0.120914;0.121899
14-10;0.170341;0.159776;0.163794;0.148383;0.157929;0.169932;0.186577;0.178166;0.187403;0.135589;0.161945;0.122817;0.215505;0.207513;0.15185;0.13371;0.167028;0.181058;0.173693;0.187603;0.180217;0.216114;0.16239;0.165376;0.226971;0.197711;0.171372;0.179406;0.182811;0.264164
15-10;39.7307;54.8303;47.4105;43.8016;36.6659;16.7796;45.79;44.6033;7.57522;54.6983;58.8194;58.2293;40.9524;41.3314;14.3299;34.0491;47.8441;64.0104;27.1414;30.9092;46.9668;17.1303;4.56704;23.3157;18.8332;8.18256;26.8809;6.74803;49.5933;10.7212
16-10;1.28255;2.01183;1.56326;2.02744;1.90756;1.67222;1.89223;1.91482;1.75782;1.80471;1.69961;1.98007;1.86054;1.74589;1.90082;1.78035;1.74425;1.75728;1.6724;1.16715;1.67658;2.13831;1.6521;2.08739;1.82686;1.92706;1.36524;2.01549;1.54687;1.6268
17-10;4965.82;3989.52;9006.18;7726.37;14016.5;5834.5;12778.2;10692.4;4028.73;5231.04;7571.98;8675.12;11641.7;3483.87;9322.15;6761.66;17990.4;9824.91;3760.56;4244.71;4079.19;8939.3;11557.6;3554.1;4712.14;5160.78;5427.1;9381.15;15978;5246.28
18-10;26132.4;39776;25962.6;35516.3;8382.16;55471;47764.4;4198.58;5911.1;38250.2;67344.5;85039.7;25654.3;15367.8;29318.1;9886.98;43833;65797.5;20730;22468.2;23423.9;57274.1;43802.4;15128.7;100589;33681.6;23614.9;46847.1;14332.5;42843.3
19-10;0.7653;0.704771;0.625776;0.763301;0.733622;0.694638;0.773789;0.724089;0.720629;0.964904;0.684242;0.665693;0.661776;0.511419;0.784416;0.554825;0.723489;0.638757;0.832808;0.613139;0.870704;0.694439;0.763161;0.673106;0.683261;0.745488;0.721898;0.790474;0.68798;0.584366
20-10;1331.48;2522.41;1234.61;1124.56;549.056;728.324;2086.46;1848.51;885.139;941.929;3065.75;846.717;668.654;2202.02;990.571;1060.16;1109.05;1311.01;1537.96;1832.75;432.797;1454.33;234.698;594.532;2400.33;233.033;804.436;654.707;4904.34;246.648
20-10;1331.48;2522.41;1234.61;1124.56;549.056;728.324;2086.46;1848.51;885.139;941.929;3065.75;846.717;668.654;2202.02;990.571;1060.16;1109.05;1311.01;1537.96;1832.75;432.797;1454.33;234.698;594.532;2400.33;233.033;804.436;654.707;4904.34;246.648
21-10;967.615;2721.62;456.044;1297;598.794;831.137;2071.34;3067.93;1382.94;1692.67;676.827;327.535;1472.77;1537.08;1735.1;772.858;659.75;3238.64;1670.43;3531.98;1510.41;872.123;6266.13;2494.98;1829.1;453.684;2518.53;754.724;258.653;2944.7
22-10;6.81214;6.7698;8.64449;7.45918;7.67401;8.91463;6.1037;7.49002;9.07802;7.30874;7.87024;7.89882;7.71143;7.79811;7.41561;7.23977;6.96521;7.011;7.76818;7.70909;7.74848;6.73962;7.43461;8.91161;7.45421;6.65495;7.7265;7.87136;7.18906;8.16439
23-10;329.787;329.774;329.783;330.057;329.848;329.94;329.789;330.032;329.718;329.887;329.917;329.889;330.035;329.848;329.632;329.756;329.735;329.781;329.732;329.855;329.735;329.948;329.813;329.737;329.816;329.84;329.873;329.849;329.69;329.91
24-10;113.667;112.017;112.897;112.152;114.12;111.919;114.821;112.738;110.569;115.92;114.653;113.94;113.137;113.446;112.338;114.028;111.825;112.808;106.308;110.928;111.906;113.002;114.086;113.08;112.037;114.199;113.206;111.808;112.831;112.904
25-10;128.313;124.24;110.235;122.39;117.267;118.734;120.368;125.546;118.079;106.839;111.032;201.3;201.134;110.49;122.899;201.105;122.897;201.307;107.987;201.316;122.956;201.207;133.539;122.291;201.117;124.489;126.248;119.203;121.34;201.28
26-10;100.069;100.046;100.072;100.065;100.063;100.073;100.066;100.093;100.062;100.054;100.07;100.046;100.038;100.067;100.079;100.037;100.049;100.057;100.066;100.073;100.055;100.083;100.067;100.077;100.066;100.067;100.046;100.067;100.064;100.045
27-10;9.87329;6.27743;4.86027;6.10954;6.11211;6.13473;5.7842;6.47839;4.99622;7.05489;2.99142;401.12;9.19646;8.71428;7.76454;401.087;4.49455;5.80836;306.404;7.70426;6.76544;401.257;5.48258;6.00294;305.475;305.16;5.79759;5.26507;6.3893;10.0381
28-10;375.771;373.125;373.757;374.879;478.785;375.725;477.579;376.097;473.916;372.184;377.519;375.747;385.554;373.473;372.88;474.102;375.09;372.66;373.496;372.951;484.482;375.349;373.49;372.384;374.5;374.221;373.23;376.455;375.517;372.628
29-10;8966.8;1470.88;9876.66;21799.5;20806.6;853.038;13069.7;7253.76;12879.5;10829.9;16406.4;4334.03;11692.2;1418.39;24363.1;11605.3;2569.73;9945.9;9160.06;8408.78;8354.49;990.304;12400.9;23513;5668.71;1968.51;942.08;3920.96;28149.1;4171.1
30-10;570.551;653.084;610.982;639.256;558.382;619.746;612.114;611.853;612.202;732.954;630.919;643.941;723.357;653.581;532.265;677.661;527.767;604.998;626.82;584.647;690.3;692.267;655.861;547.014;558.788;616.509;633.229;578.027;617.631;647.016
1-10;2.16702e+06;2.16702e+06;2.16702e+06;2.16702e+06;2.16702e+06;2.97208e+06;2.97208e+06;2.97208e+06;2.97208e+06;2.97208e+06;2.97208e+06;2.97208e+06;2.97208e+06;3.13097e+06;3.13097e+06;3.13097e+06;3.13097e+06;3.13097e+06;3.13097e+06;3.13097e+06;3.13097e+06;2.29504e+06;2.29504e+06;2.29504e+06;2.29504e+06;2.29504e+06;2.29504e+06;2.29504e+06;2.90941e+06;2.90941e+06
2-10;1.44602e+08;1.44602e+08;1.44602e+08;1.44602e+08;1.44602e+08;1.25331e+08;1.25331e+08;1.25331e+08;1.25331e+08;1.25331e+08;1.25331e+08;1.25331e+08;1.25331e+08;1.76432e+08;1.76432e+08;1.76432e+08;1.76432e+08;1.76432e+08;1.76432e+08;1.76432e+08;1.46029e+08;1.46029e+08;1.46029e+08;1.46029e+08;1.46029e+08;1.46029e+08;1.46029e+08;1.46029e+08;1.31216e+08;1.31216e+08
3-10;4094.02;4094.02;4094.02;4094.02;4094.02;4094.02;2898.51;2898.51;2898.51;2898.51;2898.51;2898.51;2898.51;2898.51;2898.51;2898.51;3409.07;3409.07;3409.07;3409.07;3409.07;3409.07;3409.07;3409.07;3409.07;4929.37;4929.37;4929.37;4929.37;4929.37
4-10;36.8967;36.8967;37.1317;37.1317;37.1317;37.1317;37.1317;37.1317;37.3758;37.3758;37.3758;37.3758;37.3758;36.9031;36.9031;36.9031;36.9031;36.9031;22.4858;22.4858;22.4858;22.4858;22.4858;22.4858;22.4858;37.4708;37.4708;37.4708;37.4708;37.4708
