f;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30
13-50;0.224586;0.190374;0.194675;0.223825;0.221372;0.210658;0.199718;0.222365;0.218641;0.209148;0.202378;0.200511;0.220104;0.217991;0.18989;0.230022;0.22301;0.193093;0.216893;0.217434;0.198268;0.206029;0.219622;0.216713;0.224913;0.22549;0.211872;0.207871;0.198451;0.208161
14-50;1.14318;1.26059;1.3746;1.26684;1.27838;1.23283;1.48211;1.20411;1.28658;1.2845;1.15736;1.30786;1.39379;1.25753;1.20745;1.25074;1.3894;1.27753;1.34222;1.26663;1.24458;1.17724;1.22033;1.15384;1.18992;1.21261;1.29197;1.1843;1.22966;1.25386
15-50;29469.5;24540.1;23775.3;25943.1;20613.1;17033.7;19669.4;21322.3;15162.3;21545.1;27646.3;20455.6;25730.8;22154;25019.4;21242.4;19938.1;17522.8;21707;20119.7;18018.6;21631.5;22151.4;18537.2;24003.4;13932;19304;28702.2;23614.8;23861.6
16-50;17.8807;18.0489;17.798;17.331;17.8409;17.6702;17.4731;17.453;17.3994;17.0423;17.5759;17.5423;17.6954;17.4789;17.4383;17.1204;17.9084;17.1389;18.0311;17.9908;18.0521;17.5616;17.3024;17.8142;16.9877;17.8033;17.4605;16.5525;17.5357;17.652
17-50;1.04623e+06;887452;872652;842122;876430;897143;892342;840272;837456;753631;834741;1.0148e+06;987071;802905;764793;835540;670929;904513;780685;709417;653364;814913;819703;823253;752488;760730;741522;876127;980687;1.05898e+06
18-50;1.84648e+07;1.61243e+07;1.95697e+07;1.95275e+07;1.77746e+07;1.76092e+07;1.67667e+07;2.21103e+07;1.64576e+07;2.06555e+07;1.8206e+07;1.81394e+07;1.87335e+07;1.47295e+07;2.02422e+07;1.87579e+07;1.84615e+07;1.79314e+07;1.78209e+07;1.85205e+07;1.62872e+07;1.50454e+07;1.89404e+07;1.79126e+07;1.94395e+07;1.67234e+07;1.66851e+07;1.82347e+07;1.7782e+07;1.75399e+07
19-50;10.9507;11.7949;11.1687;10.8721;10.7725;10.7054;10.444;15.006;10.8802;11.692;11.2032;10.7363;10.6761;11.0309;14.5589;10.9161;10.6389;12.7662;11.3125;15.2282;11.1284;10.741;11.5942;11.6072;12.2607;11.5849;12.9434;12.145;13.6048;11.3774
20-50;3447.86;2811.64;3184.18;2458.76;2115.26;3135.51;1876.46;2038.63;1700;2568.54;2983.35;2029.1;2993.63;3919.32;2308.06;3234.55;2059.18;2540.79;1776.77;2777.71;3764.22;2731.07;2123.44;2747.41;3496.86;2711.68;3698.51;3252.57;2226.68;3094.38
21-50;284984;191476;241510;273313;223185;323255;203298;296450;257365;263664;237669;220912;234608;303204;254263;248701;280775;224812;221247;285756;244668;277478;287130;244125;245619;298489;233315;235529;232620;258191
22-50;208.651;261.139;224.461;175.996;288.089;375.943;217.713;231.723;219.799;222.927;208.651;261.139;224.461;175.996;288.089;375.943;217.713;231.723;219.799;222.927;208.651;261.139;224.461;175.996;288.089;375.943;217.713;231.723;219.799;222.927
23-50;347.475;347.524;347.817;347.483;347.348;347.545;347.937;348.048;347.434;347.791;347.423;347.911;347.913;347.317;347.33;347.68;347.381;347.384;347.716;348.005;347.54;347.65;347.295;347.654;347.317;347.464;347.565;347.385;347.515;347.763
24-50;277.591;275.04;275.597;275.997;276.98;276.624;276.99;274.909;276.649;275.934;275.449;275.974;276.045;276.312;276.678;275.602;276.704;276.552;275.568;275.852;275.974;275.104;276.252;276.723;276.623;276.984;274.203;276.946;275.389;276.558
25-50;206.129;206.386;206.337;206.217;207.05;206.552;206.172;206.221;206.371;206.449;206.835;206.536;206.593;206.125;206.133;206.317;206.119;205.867;206.512;206.688;206.126;206.428;206.939;206.761;206.531;206.307;206.745;206.186;206.064;206.31
26-50;100.568;100.484;100.386;100.436;100.608;100.708;100.835;100.558;100.611;100.611;100.425;100.339;100.49;100.505;100.528;100.52;100.615;100.26;100.362;100.713;100.692;100.472;100.639;100.647;100.504;100.605;100.542;100.476;100.5;100.349
27-50;323.098;392.016;371.436;391.031;363.213;367.938;369.974;374.391;324.92;388.719;357.571;387.248;323.683;363.37;394.551;325.18;381.621;327.046;326.471;367.67;357.166;370.583;396.857;359.001;393.282;378.325;324.173;357.702;418.942;393.716
28-50;1162.77;1202.35;1174.4;1190.47;1160.41;1249.19;1217.59;1226.83;1240.57;1167.19;1160.91;1156.98;1219.48;1225.78;1230.73;1162.67;1226.93;1169.8;1176.69;1239.99;1209.7;1182.23;1194.42;1154.33;1231.71;1243.31;1173.12;1189.39;1208.52;1256.83
29-50;2.14072e+06;2.03134e+06;2.1188e+06;2.32002e+06;2.15739e+06;2.20565e+06;2.14955e+06;1.97099e+06;2.16987e+06;2.17558e+06;2.13397e+06;2.0054e+06;2.13387e+06;2.02925e+06;2.35392e+06;1.79455e+06;2.10645e+06;2.08339e+06;2.25678e+06;1.91915e+06;2.47859e+06;2.2566e+06;2.15739e+06;1.61951e+06;1.78922e+06;2.33297e+06;1.86226e+06;1.76165e+06;1.84664e+06;1.91316e+06
30-50;39230.8;45349.4;43769.8;39045.4;40898.7;37474.5;35438.5;36978.7;35459;41088;42364;37976.4;32811.6;38987.1;34860.5;34508.5;38889.8;30600.4;38254.2;35922.1;38414.9;33399.6;37128.8;42089.4;29465.4;39422.8;38104;41132.2;31132;34566.1
1-50;1.8741e+07;1.63744e+07;1.75177e+07;1.9214e+07;1.94535e+07;1.72158e+07;1.7691e+07;1.74542e+07;1.70908e+07;1.66347e+07;1.85301e+07;1.86381e+07;1.89716e+07;1.61992e+07;1.86727e+07;1.80397e+07;1.86316e+07;1.68294e+07;1.82052e+07;1.88419e+07;1.89743e+07;1.70903e+07;1.62461e+07;1.8122e+07;1.81894e+07;1.97286e+07;1.64708e+07;1.86602e+07;1.82111e+07;1.90722e+07
2-50;3.10885e+09;3.00748e+09;3.11544e+09;2.65638e+09;2.84486e+09;3.01614e+09;3.05812e+09;2.788e+09;2.44261e+09;2.98559e+09;3.1692e+09;3.25046e+09;2.98373e+09;2.91204e+09;2.88986e+09;2.99392e+09;2.79496e+09;3.02779e+09;3.00282e+09;2.9792e+09;3.16971e+09;3.05083e+09;2.78872e+09;3.12988e+09;3.0069e+09;3.10573e+09;2.99957e+09;2.97166e+09;2.66379e+09;3.10647e+09
3-50;31644.9;28893.6;30645.2;27366.3;36211.4;28946.2;31287.4;32323.4;35330.3;32094;33570;34218.7;34758.8;32124.2;35290.5;33568;37640.8;36414.2;28750.1;32171.8;33762.8;33924.4;29681.7;31744.5;31024.6;34305.5;35330.3;35648;33968.7;31567.9
4-50;260.177;243.755;263.393;238.098;175.836;252.81;249.217;209.977;250.718;249.588;256.406;275.838;256.271;269.692;252.776;194.309;204.707;255.084;260.329;251.063;245.58;210.223;255.477;254.302;263.866;246.771;248.21;247.489;260.404;254.802
5-50;20.5363;20.5356;20.5178;20.5238;20.5461;20.5304;20.5467;20.5805;20.6536;20.5307;20.5329;20.6173;20.5126;20.5126;20.5118;20.6044;20.5522;20.576;20.5416;20.5068;20.5205;20.4958;20.5002;20.5247;20.5391;20.5654;20.5024;20.5329;20.5181;20.5577
6-50;12.8067;13.0299;2.89444;13.1974;2.65166;2.76044;2.80393;13.2437;12.9476;2.91094;2.55754;3.37448;12.2242;3.30986;2.6373;2.74616;12.9051;4.06981;2.99585;2.63351;12.854;2.82918;13.6692;2.67243;4.34666;2.93717;2.76333;2.85787;2.66977;2.82474
7-50;76.2472;76.852;70.2688;73.9005;68.7255;75.0359;70.2968;76.9989;74.2068;75.772;72.9528;76.9642;73.8742;77.8934;80.1889;74.1751;71.2548;72.0781;73.8557;71.4909;71.6558;72.4274;64.3356;72.3575;69.9287;75.1112;76.2021;71.0822;76.9043;75.9861
8-50;58.8566;58.2185;57.8692;57.4983;57.6276;57.9315;57.3303;56.927;58.1975;58.2881;58.5405;58.8216;57.1073;57.0254;58.6291;59.6718;60.8361;58.3801;57.7669;58.7392;57.7733;57.4538;57.4713;58.6139;57.0122;58.2488;57.0926;55.7607;56.9904;59.6683
9-50;96.3986;100.816;93.7592;94.203;96.8345;93.2745;95.6855;95.9992;89.8598;92.6236;94.9054;100.003;96.7956;93.7425;98.4695;98.8904;95.5811;95.7241;95.2698;96.1644;97.2488;92.1062;88.4457;85.7484;90.1604;97.2782;99.0596;94.809;91.347;98.7551
10-50;1948.84;1946.14;2051.77;1922.42;1953.07;1948.65;1976.87;1942.49;1968.61;1897.25;1902.71;1954.58;1887.3;1962.13;1921.17;1927.78;1992.02;1964.07;1947.35;1944.73;2006.86;1986.24;2026.07;1954.25;2033.87;1959.09;1900.62;1916.96;1936.22;1901.2
11-50;6294.46;6443.18;6169.43;6346.72;6604.28;6896.33;6683.12;6034.18;6959.46;6809.5;6364.11;6950.8;6825.61;5994.39;6826.74;6719.24;6476.95;6429.5;6362.14;6779.99;7256.21;6908.6;6964.97;6701.02;6435.68;6516.33;6895.95;7153.48;6157.95;6849.18
12-50;0.972233;1.01923;1.05083;0.844403;0.984579;0.895806;0.789457;0.908383;0.803051;0.917899;0.992629;1.00133;0.895741;0.817561;0.821667;0.905138;1.05758;0.904496;1.02845;1.06058;0.984014;0.87793;0.935547;0.850184;0.938471;0.952201;1.064;0.750784;0.879963;0.852081
13-50;0.251228;0.28032;0.25566;0.235679;0.272388;0.302399;0.289709;0.289186;0.257364;0.265348;0.25188;0.247781;0.274257;0.256064;0.25446;0.266721;0.262966;0.253726;0.27019;0.252067;0.290619;0.287863;0.269911;0.264312;0.283576;0.302569;0.292084;0.290706;0.287487;0.253469
14-50;2.10082;2.27755;2.22523;2.22412;2.28938;2.09004;2.19657;2.25697;2.26045;2.19582;2.1951;2.13908;2.13087;2.14521;2.28043;2.03613;2.15007;2.05685;2.06668;2.24365;2.26722;2.26632;2.28937;2.14235;2.18676;2.29691;2.2917;2.13563;2.21104;2.16619
15-50;36767.4;36846.5;54032.4;39506;37596.6;33961.5;33046.6;41803;25162.6;58472.5;30630.9;34270.2;29922.4;34867.7;60802.1;57028.7;50060.8;40354.7;58817.8;44917.8;39944.1;35569.4;54720.5;52530.6;30302.3;31567.6;48422.7;45401.2;46689.9;39458
16-50;18.633;18.984;18.0181;18.7864;18.594;18.8556;19.0593;18.6615;18.9963;18.7057;18.654;18.7448;19.1358;18.4759;18.6509;19.2145;18.7018;18.7063;19.0596;18.834;18.9292;19.0685;18.7006;18.7638;18.9058;18.694;19.0928;18.6368;19.0962;18.2813
17-50;1.4342e+06;1.90037e+06;1.73729e+06;1.50223e+06;1.37142e+06;2.05553e+06;1.59627e+06;1.45651e+06;1.4903e+06;1.70504e+06;1.91909e+06;1.52511e+06;1.84028e+06;1.77499e+06;1.77902e+06;1.43647e+06;1.45326e+06;1.56728e+06;1.61455e+06;1.49671e+06;1.64013e+06;1.80642e+06;1.55079e+06;1.62018e+06;1.42897e+06;1.34096e+06;1.48648e+06;1.1723e+06;1.26634e+06;1.60505e+06
18-50;3.78664e+07;3.64775e+07;3.72006e+07;3.31059e+07;3.36747e+07;4.0822e+07;4.26513e+07;3.94477e+07;4.29392e+07;3.57672e+07;3.51645e+07;3.61064e+07;3.40689e+07;3.26726e+07;3.9641e+07;3.6229e+07;3.58485e+07;2.7927e+07;3.38188e+07;3.77327e+07;3.55264e+07;3.88522e+07;4.02476e+07;3.39803e+07;3.27271e+07;3.52272e+07;3.41281e+07;3.72517e+07;3.50776e+07;2.9804e+07
19-50;15.5826;18.3119;17.0357;17.3603;17.3244;16.4442;19.1307;15.948;17.134;14.9834;19.166;19.3367;17.7326;16.3795;14.6695;18.0661;15.4846;16.7586;17.0818;17.1609;17.0132;19.2049;17.2445;19.777;17.4555;16.2811;17.6408;15.0211;19.0122;16.9009
20-50;5931.1;8875.24;4986.06;5269.31;6517.5;4442.95;7003.69;2601.42;3649.2;6470.18;4242.47;3628.56;4502.7;5484.51;4558.51;6753.99;6519.36;5275.4;8161.86;5062.12;4626.83;5418.09;4913.61;6591.15;4079.8;3026.45;5601.71;3287.36;3443.2;4182.04
21-50;505956;501404;405852;603429;415839;479521;614741;542584;481298;556687;504445;488553;547884;459061;429097;475073;470709;525509;562832;524517;494929;535379;509662;633740;473022;549649;573390;470938;530923;555714
22-50;525.556;443.972;417.073;462.009;502.265;462.47;377.205;344.361;505.876;384.219;368.078;441.797;313.9;329.123;567.158;466.554;279.159;484.489;339.812;557.074;580.152;369.349;398.346;451.089;448.998;374.274;446.141;455.804;377.63;442.131
23-50;351.099;351.363;350.931;351.63;351.553;351.468;351.284;351.42;351;351.761;350.771;351.26;351.833;351.773;351.165;351.539;351.255;350.912;351.143;351.551;351.228;351.53;350.886;351.856;351.451;351.647;351.261;350.794;350.716;350.625
24-50;277.989;277.292;276.516;278.344;275.473;277.344;277.518;276.792;277.774;276.682;278.149;277.852;276.566;276.448;277.082;276.791;277.677;276.74;277.877;277.105;277.919;276.854;277.133;277.983;278.039;277.915;277.9;277.839;278.241;276.771
25-50;207.582;207.55;207.068;206.909;207.203;207.202;207.454;207.127;207.636;207.347;207.241;208.158;207.797;207.542;207.19;207.178;207.187;207.269;207.172;207.197;208.236;207.311;208.178;207.079;207.444;207.464;207.47;207.243;207.154;207.167
26-50;100.962;100.724;100.673;100.638;100.439;100.671;100.38;100.487;100.869;101.372;100.601;100.976;100.839;100.289;101.514;101.053;100.877;101.269;100.713;100.623;101.72;100.871;100.881;101.14;101.421;100.904;100.657;100.407;101.39;101.115
27-50;380.827;421.859;393.083;392.946;388.435;405.08;381.281;392.829;379.47;416.017;408.749;437.677;418.142;394.649;350.272;413.734;413.544;401.729;409.959;401.455;408.298;348.904;411.036;415.415;406.518;399.628;396.79;399.983;348.312;392.254
28-50;1278.76;1266.73;1198.84;1259.26;1275.79;1243.21;1242.5;1262.59;1274.38;1189.94;1234.67;1241.31;1251.21;1200.03;1204.38;1194.63;1244.59;1252.55;1218.01;1263.47;1282.75;1227.38;1190.55;1149.78;1214.35;1276.15;1245.89;1252.49;1277.33;1217.85
29-50;3.74192e+06;4.36377e+06;4.68479e+06;3.82466e+06;4.14727e+06;4.30292e+06;4.3133e+06;4.12338e+06;3.38556e+06;3.3124e+06;3.75319e+06;3.98896e+06;4.31424e+06;4.10069e+06;4.09838e+06;4.23709e+06;4.4296e+06;3.57257e+06;4.36682e+06;4.55549e+06;4.44747e+06;3.7902e+06;3.59806e+06;3.99911e+06;4.33967e+06;4.45587e+06;3.43475e+06;4.20819e+06;4.22327e+06;3.57236e+06
30-50;58088.5;67205.3;69882.5;50216.1;72355.8;66293.4;71497.2;64509;65478.7;57625.1;61667.1;67094.7;72509.2;66109.7;70500;65334.1;58157.8;46798;64777.1;68206.8;59072.2;68106.6;65935.3;61756.9;71473.4;52629.4;71835.9;61473.8;79190.5;57558.9
