f;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30
17-30;404809;448418;365570;286047;219334;404800;408992;391901;469975;446483;403617;425289;399656;432039;464562;534586;421901;361885;384418;322773;297559;370545;415190;356574;384930;483973;404981;460184;508402;391179
18-30;9.94017e+06;8.51994e+06;8.06149e+06;9.63618e+06;7.48128e+06;9.64123e+06;8.69104e+06;8.33217e+06;5.98596e+06;1.05705e+07;9.38938e+06;6.7195e+06;4.45372e+06;9.81507e+06;9.08276e+06;9.46023e+06;7.90672e+06;9.04507e+06;9.76569e+06;7.66132e+06;8.86717e+06;1.13775e+07;1.20581e+07;7.25016e+06;9.96633e+06;8.96721e+06;8.62664e+06;8.00537e+06;9.49593e+06;1.08332e+07
19-30;6.31233;7.48813;7.2524;5.91443;6.89603;6.49036;6.06422;7.21812;6.91551;7.03794;7.11893;6.65991;7.56879;7.94285;6.90605;7.30539;7.77838;7.41665;8.30504;7.36641;8.38843;8.09293;7.3929;7.28803;7.98488;7.42552;7.82253;7.73611;7.44922;7.69626
20-30;2393.9;3092.94;2819.3;3542.16;2231.58;1553.45;2152.11;2835.94;3986.21;2319.71;2668.76;4520.73;2636.06;1810.39;5420.7;2499.56;2790.17;3559.56;1848.59;3118.99;2785.85;1092.16;4185.99;5069.71;2401.27;1531.55;3044.54;2884.22;2271.83;1504.71
21-30;84415.7;115015;125791;132986;115787;95384;141792;83245.8;106896;154780;112351;128564;128644;122322;62832.2;120736;175496;92900.2;118340;130426;175540;121159;130003;140309;122886;159434;106732;128470;160828;96951.7
22-30;125.62;110.471;137.464;119.327;149.211;134.277;133.025;105.833;93.0673;139.226;109.253;120.12;98.3393;93.9657;128.103;115.765;125.022;101.663;128.621;107.665;94.2227;134.976;90.6907;96.4905;117.314;114.865;96.0536;94.7153;109.622;130.463
23-30;318.008;317.826;318.019;317.976;318.183;317.757;318.181;317.836;317.823;317.895;318.184;318.176;318.168;317.892;318.058;318.035;318.359;317.716;318.147;318.002;318.654;318.163;317.501;317.669;318.004;317.726;318.06;317.944;318.221;317.941
24-30;227.22;229.37;223.468;226.578;225.373;229.287;223.818;227.929;225.344;225.801;225.775;225.822;229.143;226.278;225.956;223.983;227.923;227.436;226.787;226.079;229.663;226.036;226.328;227.853;226.122;225.426;225.2;229.329;227.717;228.004
25-30;203.433;203.31;203.427;203.454;203.437;203.363;203.498;203.375;203.369;203.401;203.439;203.429;203.463;203.44;203.465;203.37;203.326;203.406;203.829;203.227;203.377;203.433;203.371;203.337;203.937;203.358;203.372;203.41;203.544;203.315
26-30;100.262;100.253;100.202;100.181;100.215;100.177;100.331;100.289;100.198;100.173;100.218;100.179;100.245;100.201;100.336;100.172;100.177;100.187;100.211;100.177;100.175;100.182;100.198;100.198;100.166;100.16;100.174;100.227;100.175;100.17
27-30;323.809;325.594;325.311;325.623;324.702;324.756;319.256;325.83;325.287;323.178;324.145;323.732;325.852;324.064;325.115;324.206;323.876;321.484;327.284;324.138;324.536;325.167;324.953;322.086;325.026;323.443;319.212;324.09;322.28;324.649
28-30;896.305;882.725;886.258;860.871;887.371;879.143;878.734;876.789;895.55;882.67;886.706;891.048;892.241;888.638;895.46;906.278;893.602;903.909;882.034;896.615;899.609;885.08;887.672;902.093;885.63;872.783;888.274;884.187;874.111;896.119
29-30;1.00672e+06;746447;590616;849002;854630;790830;602824;782814;793237;785718;832956;880941;1.00812e+06;717803;793630;806641;760356;631918;871763;853920;976025;821126;933865;767021;863323;683698;688816;562134;777508;833087
30-30;11765;14841.6;13687.1;15400.3;13787.2;12476.7;11764.2;12868.3;14874.9;12989.3;14282;13290.2;15529.1;13494;13052.5;13332.9;9749.62;12367.6;10726.2;10076;11731.3;12417.3;15099.1;13363.7;10350.1;12388.7;12817.7;12678.9;14513.3;14469.9
