f;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30
13-100;0.360987;0.374045;0.357369;0.338258;0.333751;0.368974;0.374947;0.395716;0.352048;0.384379;0.359623;0.35323;0.374947;0.37136;0.366884;0.362892;0.346417;0.366559;0.361331;0.369242;0.35387;0.375823;0.371321;0.374615;0.360871;0.343786;0.365837;0.361539;0.36095;0.401318
14-100;4.98854;4.96785;5.19854;5.08672;5.29786;5.20582;5.03647;5.04286;5.08931;5.01895;5.01238;5.17692;5.19138;4.92994;5.11296;4.9737;5.24202;5.13514;5.18472;5.22592;5.09285;4.96109;5.09772;5.1059;5.05745;5.05651;5.15492;5.08841;5.02161;5.01373
15-100;232315;295605;303393;284928;281549;299621;160106;254002;290720;193885;257414;192842;273343;288682;307979;236139;203666;231673;298611;269189;279497;252628;289720;284571;255306;258745;258897;261005;279908;244636
16-100;41.7225;41.9181;41.6159;42.1607;41.5456;42.273;41.9153;42.4188;42.2402;42.2711;42.2778;42.2367;41.2701;41.9861;41.7557;42.2778;42.2378;41.8491;41.7879;41.4026;41.4322;42.6729;42.3464;41.6714;42.6817;42.7496;41.8171;41.5223;42.4978;42.0911
17-100;7.71156e+06;6.29242e+06;6.48954e+06;7.42473e+06;6.6393e+06;6.78514e+06;6.95154e+06;6.18839e+06;6.55429e+06;6.75477e+06;7.18964e+06;6.81308e+06;6.70355e+06;7.08414e+06;6.24031e+06;6.5907e+06;6.69859e+06;5.84569e+06;7.88352e+06;6.3972e+06;7.5431e+06;6.37153e+06;7.90143e+06;6.39274e+06;6.29393e+06;7.16012e+06;6.28402e+06;7.13677e+06;7.3603e+06;6.89348e+06
18-100;1.50666e+08;1.4093e+08;1.38626e+08;1.35567e+08;1.40987e+08;1.47806e+08;1.2831e+08;1.50547e+08;1.50947e+08;1.5018e+08;1.34551e+08;1.47581e+08;1.43811e+08;1.39233e+08;1.37531e+08;1.45948e+08;1.49282e+08;1.41398e+08;1.37342e+08;1.50904e+08;1.42136e+08;1.37939e+08;1.42773e+08;1.47187e+08;1.42946e+08;1.52677e+08;1.42579e+08;1.43137e+08;1.4593e+08;1.47253e+08
19-100;118.368;126;119.468;119.026;118.225;119.601;123.08;121.218;118.888;119.724;123.89;119.812;124.415;120.661;119.304;120.803;117.23;119.176;119.911;118.218;120.004;121.155;118.389;116.18;117.373;119.579;118.101;118.898;120.365;116.492
20-100;21300.3;20635.7;20083.7;26534.7;32734.5;12557.8;26344.7;16169.4;23951.8;25844.6;25141.5;19816.1;29693.7;16988.4;20753.4;7903.89;19468.8;19632.8;19786.5;26624.2;23519.3;24003.7;23110.4;33276.1;22581.7;24887.3;21004.2;23600.7;26381.3;23859.1
21-100;3.37532e+06;3.47051e+06;3.20932e+06;3.21797e+06;3.31102e+06;3.11448e+06;2.785e+06;2.89224e+06;3.28712e+06;2.92569e+06;3.42544e+06;2.96236e+06;2.5933e+06;3.35813e+06;3.43151e+06;2.82787e+06;3.35046e+06;3.36326e+06;3.19783e+06;2.84573e+06;2.79442e+06;3.30111e+06;2.77266e+06;3.02156e+06;2.97364e+06;3.53903e+06;3.35227e+06;3.30752e+06;3.36282e+06;3.00948e+06
22-100;1940.38;1924.68;2368.75;2031.71;2146.12;2209.67;2165.86;2131.22;2268.55;2047.89;2305.83;2198.05;2163.99;2019.07;2346.6;2084.61;2188.31;1941.64;2269.28;2190.77;2273.12;2247.3;1874.54;1956.79;1998.91;2069.21;2160.06;2281.62;2197.64;2153.04
23-100;365.741;368.251;366.686;366.427;367.885;366.017;368.002;367.598;367.34;367.707;367.288;367.238;365.549;367.866;367.876;367.697;367.924;368.492;367.098;367.549;366.446;367.947;367.558;367.789;367.579;367.324;368.356;367.628;367.917;366.418
24-100;398.16;393.475;395.994;395.549;396.037;401.395;402.626;397.038;395.105;396.331;397.485;398.291;400.123;397.863;399.164;397.894;394.7;401.16;395.313;396.329;397.623;397.229;398.848;397.05;396.521;398.184;398.664;396.291;399.445;399.207
25-100;206.794;206.868;206.709;206.614;206.664;206.686;206.889;206.871;206.573;207.039;207.107;206.63;207.132;206.594;206.623;206.545;206.653;206.722;206.948;206.283;206.86;206.791;206.551;206.848;206.784;206.902;207.153;206.592;206.66;206.753
26-100;203.589;203.794;203.541;203.703;203.669;203.804;203.733;203.793;203.708;203.858;203.727;203.767;203.654;203.45;204.015;203.746;203.974;203.867;203.891;203.563;203.769;203.432;203.774;203.417;202.631;203.46;203.689;204.124;203.379;203.587
27-100;478.116;417.876;409.572;463.31;404.726;407.382;410.014;399.379;424.243;409.948;417.464;401.452;404.242;405.016;393.231;410.785;447.076;408.848;458.527;408.334;414.042;390.794;395.245;405.056;426.973;398.471;423.311;392.78;430.049;410.81
28-100;2536.22;2519.16;2540.75;2511.12;2559.72;2465.69;2457.32;2496.32;2580.05;2562.41;2493.39;2511.12;2572.87;2500.22;2499.41;2558.82;2482.74;2536.01;2527.94;2543.2;2476.96;2468.75;2455.85;2559.68;2528.59;2506.42;2519.53;2498.5;2528.28;2536.92
29-100;1.64294e+07;1.66889e+07;1.68172e+07;1.66114e+07;1.76229e+07;1.775e+07;1.64506e+07;1.63964e+07;1.66617e+07;1.65602e+07;1.70217e+07;1.6058e+07;1.61243e+07;1.64132e+07;1.65894e+07;1.68336e+07;1.66063e+07;1.4696e+07;1.60965e+07;1.7517e+07;1.39606e+07;1.56167e+07;1.61828e+07;1.71285e+07;1.6122e+07;1.73149e+07;1.68024e+07;1.55264e+07;1.61371e+07;1.66184e+07
30-100;592110;631316;573528;523692;597415;574535;583716;615296;512318;607988;585054;479725;543535;528282;543726;564729;499091;611199;544040;598271;571758;594372;542385;589444;593998;623801;545393;611595;533977;604797
